country_name,country_code,region
Afghanistan,AFG,Southern Asia
Åland Islands,ALA,Northern Europe
Albania,ALB,Southern Europe
Algeria,DZA,Northern Africa
American Samoa,ASM,Polynesia
Andorra,AND,Southern Europe
Angola,AGO,Sub-Saharan Africa
Anguilla,AIA,Latin America and the Caribbean
Antigua and Barbuda,ATG,Latin America and the Caribbean
Argentina,ARG,Latin America and the Caribbean
Armenia,ARM,Western Asia
Aruba,ABW,Latin America and the Caribbean
Australia,AUS,Australia and New Zealand
Austria,AUT,Western Europe
Azerbaijan,AZE,Western Asia
Bahamas,BHS,Latin America and the Caribbean
Bahrain,BHR,Western Asia
Bangladesh,BGD,Southern Asia
Barbados,BRB,Latin America and the Caribbean
Belarus,BLR,Eastern Europe
Belgium,BEL,Western Europe
Belize,BLZ,Latin America and the Caribbean
Benin,BEN,Sub-Saharan Africa
Bermuda,BMU,Northern America
Bhutan,BTN,Southern Asia
Plurinational State of Bolivia,BOL,Latin America and the Caribbean
"Bonaire, Sint Eustatius and Saba",BES,Latin America and the Caribbean
Bosnia and Herzegovina,BIH,Southern Europe
Botswana,BWA,Sub-Saharan Africa
Bouvet Island,BVT,Latin America and the Caribbean
Brazil,BRA,Latin America and the Caribbean
British Indian Ocean Territory,IOT,Sub-Saharan Africa
Brunei Darussalam,BRN,South-eastern Asia
Bulgaria,BGR,Eastern Europe
Burkina Faso,BFA,Sub-Saharan Africa
Burundi,BDI,Sub-Saharan Africa
Cabo Verde,CPV,Sub-Saharan Africa
Cambodia,KHM,South-eastern Asia
Cameroon,CMR,Sub-Saharan Africa
Canada,CAN,Northern America
Cayman Islands,CYM,Latin America and the Caribbean
Central African Republic,CAF,Sub-Saharan Africa
Chad,TCD,Sub-Saharan Africa
Chile,CHL,Latin America and the Caribbean
China,CHN,Eastern Asia
Christmas Island,CXR,Australia and New Zealand
Cocos (Keeling) Islands,CCK,Australia and New Zealand
Colombia,COL,Latin America and the Caribbean
Comoros,COM,Sub-Saharan Africa
Congo,COG,Sub-Saharan Africa
Democratic Republic of the Congo,COD,Sub-Saharan Africa
Cook Islands,COK,Polynesia
Costa Rica,CRI,Latin America and the Caribbean
Côte d'Ivoire,CIV,Sub-Saharan Africa
Croatia,HRV,Southern Europe
Cuba,CUB,Latin America and the Caribbean
Curaçao,CUW,Latin America and the Caribbean
Cyprus,CYP,Western Asia
Czechia,CZE,Eastern Europe
Denmark,DNK,Northern Europe
Djibouti,DJI,Sub-Saharan Africa
Dominica,DMA,Latin America and the Caribbean
Dominican Republic,DOM,Latin America and the Caribbean
Ecuador,ECU,Latin America and the Caribbean
Egypt,EGY,Northern Africa
El Salvador,SLV,Latin America and the Caribbean
Equatorial Guinea,GNQ,Sub-Saharan Africa
Eritrea,ERI,Sub-Saharan Africa
Estonia,EST,Northern Europe
Eswatini,SWZ,Sub-Saharan Africa
Ethiopia,ETH,Sub-Saharan Africa
Falkland Islands (Malvinas),FLK,Latin America and the Caribbean
Faroe Islands,FRO,Northern Europe
Fiji,FJI,Melanesia
Finland,FIN,Northern Europe
France,FRA,Western Europe
French Guiana,GUF,Latin America and the Caribbean
French Polynesia,PYF,Polynesia
French Southern Territories,ATF,Sub-Saharan Africa
Gabon,GAB,Sub-Saharan Africa
Gambia,GMB,Sub-Saharan Africa
Georgia,GEO,Western Asia
Germany,DEU,Western Europe
Ghana,GHA,Sub-Saharan Africa
Gibraltar,GIB,Southern Europe
Greece,GRC,Southern Europe
Greenland,GRL,Northern America
Grenada,GRD,Latin America and the Caribbean
Guadeloupe,GLP,Latin America and the Caribbean
